,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
"Hutchinson, Tim (R-AR)",,,,,3250,15750,285704,,,,,,,,,,
"Reed, Jack (D-RI)",,,,,3250,8500,25916,-1550,3200,23650,,750,35700,6250,5754,29100,250
"Allard, Wayne (R-CO)",,,,,3000,18950,440406,,18378,,,,,,,,
"Miller, Zell (D-GA)",,,,,,83113,-3500,,,,,,,,,,
"Chafee, Lincoln (R-RI)",,,,,,79325,5150,13000,112083,,,,,,,,
"Fitzgerald, Peter G (R-IL)",,,,,,56949,20775,800,,,,,,,,,
"Schumer, Charles E (D-NY)",,,,,,42115,141928,70550,,,148900,29500,58050,333636,2949,74741,702296
"Voinovich, George V (R-OH)",,,,,,27967,222313,414414,77072,301010,8300,,,,,,
"Bayh, Evan (D-IN)",,,,,,19314,124940,159916,120400,2750,199399,,,,,,
"Lincoln, Blanche (D-AR)",,,,,,17500,91153,239511,9750,118100,923457,,,,,,
"Roberts, Pat (R-KS)",,,,,,12122,89500,1000,38500,304371,14000,33000,551637,15500,27400,-2600,
"Bunning, Jim (R-KY)",,,,,,6850,56900,284224,6750,13500,50200,,,,,,
"Crapo, Mike (R-ID)",,,,,,6189,58450,203292,17000,14280,210210,68368,24500,200780,34300,43700,354361
"Edwards, John (D-NC)",,,,,,6000,15250,,,,,,,,,,
"Cornyn, John (R-TX)",,,,,,,828585,177500,290150,1107446,283875,195800,1350226,97750,423856,1370170,151020
"Nelson, Bill (D-FL)",,,,,,,64850,35450,162980,7000,52885,187250,500,6300,173161,,
"Carnahan, Jean (D-MO)",,,,,,,57100,,,,,,,,,,
"Cantwell, Maria (D-WA)",,,,,,,46450,39050,181475,44250,60200,297089,19900,63815,266018,3390,17880
"Nelson, Ben (D-NE)",,,,,,,37785,15450,236199,17000,164400,124000,,,,,
"Carper, Tom (D-DE)",,,,,,,27830,19725,97025,10530,40600,136270,24560,24719,143064,44083,58500
"Allen, George (R-VA)",,,,,,,20750,37750,592286,,,,,,,,
"Clinton, Hillary (D-NY)",,,,,,,19150,94422,237860,1238719,-24970,,,,,,
