,URL
299,https://www.congress.gov/bill/116th-congress/senate-bill/3269
300,https://www.congress.gov/bill/116th-congress/senate-bill/3263
301,https://www.congress.gov/bill/116th-congress/senate-bill/3247
302,https://www.congress.gov/bill/116th-congress/senate-bill/3227
303,https://www.congress.gov/bill/116th-congress/senate-bill/3211
304,https://www.congress.gov/bill/116th-congress/senate-bill/3171
305,https://www.congress.gov/bill/116th-congress/senate-bill/3160
306,https://www.congress.gov/bill/116th-congress/senate-bill/3140
307,https://www.congress.gov/bill/116th-congress/senate-bill/3117
308,https://www.congress.gov/bill/116th-congress/senate-bill/3062
309,https://www.congress.gov/bill/116th-congress/senate-bill/2980
310,https://www.congress.gov/bill/116th-congress/senate-bill/2975
311,https://www.congress.gov/bill/116th-congress/senate-bill/2941
312,https://www.congress.gov/bill/116th-congress/senate-bill/2930
313,https://www.congress.gov/bill/116th-congress/senate-bill/2893
314,https://www.congress.gov/bill/116th-congress/senate-bill/2856
315,https://www.congress.gov/bill/116th-congress/senate-bill/2767
316,https://www.congress.gov/bill/116th-congress/senate-bill/2754
317,https://www.congress.gov/bill/116th-congress/senate-bill/2687
318,https://www.congress.gov/bill/116th-congress/senate-bill/2674
319,https://www.congress.gov/bill/116th-congress/senate-bill/2662
320,https://www.congress.gov/bill/116th-congress/senate-bill/2636
321,https://www.congress.gov/bill/116th-congress/senate-bill/2602
322,https://www.congress.gov/bill/116th-congress/senate-bill/2596
323,https://www.congress.gov/bill/116th-congress/senate-bill/2591
324,https://www.congress.gov/bill/116th-congress/senate-bill/2505
325,https://www.congress.gov/bill/116th-congress/senate-bill/2491
326,https://www.congress.gov/bill/116th-congress/senate-bill/2466
327,https://www.congress.gov/bill/116th-congress/senate-bill/2456
328,https://www.congress.gov/bill/116th-congress/senate-bill/2430
329,https://www.congress.gov/bill/116th-congress/senate-bill/2426
330,https://www.congress.gov/bill/116th-congress/senate-bill/2410
331,https://www.congress.gov/bill/116th-congress/senate-bill/2374
332,https://www.congress.gov/bill/116th-congress/senate-bill/2364
333,https://www.congress.gov/bill/116th-congress/senate-bill/2356
334,https://www.congress.gov/bill/116th-congress/senate-bill/2343
335,https://www.congress.gov/bill/116th-congress/senate-bill/2325
336,https://www.congress.gov/bill/116th-congress/senate-bill/2298
337,https://www.congress.gov/bill/116th-congress/senate-bill/2295
338,https://www.congress.gov/bill/116th-congress/senate-bill/2274
339,https://www.congress.gov/bill/116th-congress/senate-bill/2260
340,https://www.congress.gov/bill/116th-congress/senate-bill/2239
341,https://www.congress.gov/bill/116th-congress/senate-bill/2236
342,https://www.congress.gov/bill/116th-congress/senate-bill/2210
343,https://www.congress.gov/bill/116th-congress/senate-bill/2105
344,https://www.congress.gov/bill/116th-congress/senate-bill/2104
345,https://www.congress.gov/bill/116th-congress/senate-bill/2086
346,https://www.congress.gov/bill/116th-congress/senate-bill/2057
347,https://www.congress.gov/bill/116th-congress/senate-bill/1982
348,https://www.congress.gov/bill/116th-congress/senate-bill/1976
349,https://www.congress.gov/bill/116th-congress/senate-bill/1973
350,https://www.congress.gov/bill/116th-congress/senate-bill/1864
351,https://www.congress.gov/bill/116th-congress/senate-bill/1840
352,https://www.congress.gov/bill/116th-congress/senate-bill/1837
353,https://www.congress.gov/bill/116th-congress/senate-bill/1812
354,https://www.congress.gov/bill/116th-congress/senate-bill/1783
355,https://www.congress.gov/bill/116th-congress/senate-bill/1768
356,https://www.congress.gov/bill/116th-congress/senate-bill/1745
357,https://www.congress.gov/bill/116th-congress/senate-bill/1689
358,https://www.congress.gov/bill/116th-congress/senate-bill/1614
359,https://www.congress.gov/bill/116th-congress/senate-bill/1613
360,https://www.congress.gov/bill/116th-congress/senate-bill/1604
361,https://www.congress.gov/bill/116th-congress/senate-bill/1518
362,https://www.congress.gov/bill/116th-congress/senate-bill/1507
363,https://www.congress.gov/bill/116th-congress/senate-bill/1499
364,https://www.congress.gov/bill/116th-congress/senate-bill/1487
365,https://www.congress.gov/bill/116th-congress/senate-bill/1482
366,https://www.congress.gov/bill/116th-congress/senate-bill/1473
367,https://www.congress.gov/bill/116th-congress/senate-bill/1429
368,https://www.congress.gov/bill/116th-congress/senate-bill/1426
369,https://www.congress.gov/bill/116th-congress/senate-bill/1372
370,https://www.congress.gov/bill/116th-congress/senate-bill/1371
371,https://www.congress.gov/bill/116th-congress/senate-bill/1345
372,https://www.congress.gov/bill/116th-congress/senate-bill/1251
373,https://www.congress.gov/bill/116th-congress/senate-bill/1232
374,https://www.congress.gov/bill/116th-congress/senate-bill/1139
375,https://www.congress.gov/bill/116th-congress/senate-bill/1087
376,https://www.congress.gov/bill/116th-congress/senate-bill/1051
377,https://www.congress.gov/bill/116th-congress/senate-bill/1050
378,https://www.congress.gov/bill/116th-congress/senate-bill/1022
379,https://www.congress.gov/bill/116th-congress/senate-bill/990
380,https://www.congress.gov/bill/116th-congress/senate-bill/950
381,https://www.congress.gov/bill/116th-congress/senate-bill/940
382,https://www.congress.gov/bill/116th-congress/senate-bill/921
383,https://www.congress.gov/bill/116th-congress/senate-bill/868
384,https://www.congress.gov/bill/116th-congress/senate-bill/865
385,https://www.congress.gov/bill/116th-congress/senate-bill/763
386,https://www.congress.gov/bill/116th-congress/senate-bill/747
387,https://www.congress.gov/bill/116th-congress/senate-bill/729
388,https://www.congress.gov/bill/116th-congress/senate-bill/717
389,https://www.congress.gov/bill/116th-congress/senate-bill/701
390,https://www.congress.gov/bill/116th-congress/senate-bill/638
391,https://www.congress.gov/bill/116th-congress/senate-bill/614
392,https://www.congress.gov/bill/116th-congress/senate-bill/611
393,https://www.congress.gov/bill/116th-congress/senate-bill/581
394,https://www.congress.gov/bill/116th-congress/senate-bill/502
395,https://www.congress.gov/bill/116th-congress/senate-bill/483
396,https://www.congress.gov/bill/116th-congress/senate-bill/477
397,https://www.congress.gov/bill/116th-congress/senate-bill/458
398,https://www.congress.gov/bill/116th-congress/senate-bill/451
399,https://www.congress.gov/bill/116th-congress/senate-bill/383
400,https://www.congress.gov/bill/116th-congress/senate-bill/376
401,https://www.congress.gov/bill/116th-congress/senate-bill/261
402,https://www.congress.gov/bill/116th-congress/senate-bill/233
403,https://www.congress.gov/bill/116th-congress/senate-bill/181
404,https://www.congress.gov/bill/116th-congress/senate-bill/163
405,https://www.congress.gov/bill/116th-congress/senate-bill/10
406,https://www.congress.gov/bill/116th-congress/senate-joint-resolution/53
407,https://www.congress.gov/bill/116th-congress/senate-joint-resolution/9
408,https://www.congress.gov/bill/116th-congress/senate-joint-resolution/8
409,https://www.congress.gov/bill/116th-congress/senate-concurrent-resolution/47
410,https://www.congress.gov/bill/116th-congress/senate-concurrent-resolution/22
411,https://www.congress.gov/bill/116th-congress/senate-resolution/714
412,https://www.congress.gov/bill/116th-congress/senate-resolution/700
413,https://www.congress.gov/bill/116th-congress/senate-resolution/593
414,https://www.congress.gov/bill/116th-congress/senate-resolution/537
415,https://www.congress.gov/bill/116th-congress/senate-resolution/422
416,https://www.congress.gov/bill/116th-congress/senate-resolution/372
417,https://www.congress.gov/bill/116th-congress/senate-resolution/342
418,https://www.congress.gov/bill/116th-congress/senate-resolution/316
419,https://www.congress.gov/bill/116th-congress/senate-resolution/305
420,https://www.congress.gov/bill/116th-congress/senate-resolution/290
421,https://www.congress.gov/bill/116th-congress/senate-resolution/59
422,https://www.congress.gov/bill/115th-congress/senate-bill/3779
423,https://www.congress.gov/bill/115th-congress/senate-bill/3764
424,https://www.congress.gov/bill/115th-congress/senate-bill/3761
425,https://www.congress.gov/bill/115th-congress/senate-bill/3760
426,https://www.congress.gov/bill/115th-congress/senate-bill/3757
427,https://www.congress.gov/bill/115th-congress/senate-bill/3756
428,https://www.congress.gov/bill/115th-congress/senate-bill/3727
429,https://www.congress.gov/bill/115th-congress/senate-bill/3715
430,https://www.congress.gov/bill/115th-congress/senate-bill/3691
431,https://www.congress.gov/bill/115th-congress/senate-bill/3671
432,https://www.congress.gov/bill/115th-congress/senate-bill/3664
433,https://www.congress.gov/bill/115th-congress/senate-bill/3630
434,https://www.congress.gov/bill/115th-congress/senate-bill/3564
435,https://www.congress.gov/bill/115th-congress/senate-bill/3508
436,https://www.congress.gov/bill/115th-congress/senate-bill/3394
437,https://www.congress.gov/bill/115th-congress/senate-bill/3385
438,https://www.congress.gov/bill/115th-congress/senate-bill/3382
439,https://www.congress.gov/bill/115th-congress/senate-bill/3381
440,https://www.congress.gov/bill/115th-congress/senate-bill/3374
441,https://www.congress.gov/bill/115th-congress/senate-bill/3312
442,https://www.congress.gov/bill/115th-congress/senate-bill/3303
443,https://www.congress.gov/bill/115th-congress/senate-bill/3226
444,https://www.congress.gov/bill/115th-congress/senate-bill/3223
445,https://www.congress.gov/bill/115th-congress/senate-bill/3210
446,https://www.congress.gov/bill/115th-congress/senate-bill/3192
447,https://www.congress.gov/bill/115th-congress/senate-bill/3134
448,https://www.congress.gov/bill/115th-congress/senate-bill/3121
449,https://www.congress.gov/bill/115th-congress/senate-bill/3017
450,https://www.congress.gov/bill/115th-congress/senate-bill/3015
451,https://www.congress.gov/bill/115th-congress/senate-bill/3012
452,https://www.congress.gov/bill/115th-congress/senate-bill/3009
453,https://www.congress.gov/bill/115th-congress/senate-bill/2869
454,https://www.congress.gov/bill/115th-congress/senate-bill/2827
455,https://www.congress.gov/bill/115th-congress/senate-bill/2825
456,https://www.congress.gov/bill/115th-congress/senate-bill/2783
457,https://www.congress.gov/bill/115th-congress/senate-bill/2778
458,https://www.congress.gov/bill/115th-congress/senate-bill/2771
459,https://www.congress.gov/bill/115th-congress/senate-bill/2761
460,https://www.congress.gov/bill/115th-congress/senate-bill/2760
461,https://www.congress.gov/bill/115th-congress/senate-bill/2740
462,https://www.congress.gov/bill/115th-congress/senate-bill/2727
463,https://www.congress.gov/bill/115th-congress/senate-bill/2722
464,https://www.congress.gov/bill/115th-congress/senate-bill/2663
465,https://www.congress.gov/bill/115th-congress/senate-bill/2643
466,https://www.congress.gov/bill/115th-congress/senate-bill/2602
